study NAme,subid,study version,gender,hisp,ethnicity,english,numlang,parented,othered,premie,age,agegroup,exclude
negtracker,111512_09,5_1,male,yes,NA,25,?,4,4,no,2.9,2,1
negtracker,111512_10,5_1,female,yes,other,100,1,4,4,no,2.3,2,0
negtracker,111512_11,5_1,female,no,white,100,2,3,4,no,1.8,1,0
negtracker,112912_01,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
negtracker,112912_02,5_3,female,no,white,100,3,6,3,no,2.6,2,0
negtracker,112912_03,5_3,female,no,asian,75,2,4,4,no,2.3,2,0
negtracker,112912_04,5_3,female,no,asian,100,2,6,4,no,2,1,0
negtracker,112912_05,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,112912_06,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,112912_07,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,112912_08,5_3,male,no,white,100,1,4,3,no,1.4,1,0
negtracker,112912_09,5_3,male,no,white,90,2,6,6,no,1.9,1,4
negtracker,120112_01,5_4,male,no,white,75,2,6,6,no,2.3,2,0
negtracker,120112_02,5_4,female,no,white,100,1,6,6,no,2.3,2,0
negtracker,120112_03,5_4,male,no,white,90,2,6,6,no,2.7,2,0
negtracker,120112_04,5_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,120112_05,5_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
negtracker,120112_06,5_4,male,no,white,100,1,1,2,no,1.1,1,0
negtracker,120112_07,5_4,female,no,asian,100,1,4,3,yes,2.9,2,3
negtracker,120112_08,5_4,male,no,asian,50,2,6,4,no,2.4,2,1
negtracker,120112_10,5_4,female,no,white,100,1,4,4,no,2.4,2,0
negtracker,120612_01,5_3,male,no,white,100,1,5,6,no,1.7,1,0
negtracker,120612_02,5_3,male,no,white,75,2,3,4,no,2.4,2,0
negtracker,120612_03,5_3,male,no,asian,100,2,6,4,no,2.1,2,0
negtracker,120612_04,5_3,female,no,white,100,1,6,6,no,2.4,2,0
negtracker,120612_05,5_3,female,no,asian,50,2,6,NA,no,2.1,2,1
negtracker,120612_06,5_3,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0,2
negtracker,120612_07,5_3,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1,2
negtracker,120612_08,5_3,female,no,other,25,2,4,4,no,NA,NA,1
negtracker,120612_09,5_3,male,no,white,100,1,4,4,no,1.2,1,0
negtracker,120612_10,5_3,male,no,white,90,1,5,2,no,2.1,2,0
negtracker,120612_11,5_3,male,no,asian,50,3,3,6,no,1.5,1,1
negtracker,120612_12,5_3,female,yes,other,75,2,2,3,no,1.5,1,0
negtracker,120812_01,5_4,female,no,white,90,2,6,6,no,1.9,1,0
negtracker,120812_02,5_4,female,no,white,90,2,6,6,no,3.2,3,0
negtracker,120812_03,5_4,male,no,white,90,2,4,6,no,1.4,1,0
negtracker,120812_04,5_4,female,no,asian,25,3,6,6,no,2,1,1
negtracker,120812_05,5_4,female,no,other,100,1,4,3,no,3.4,3,0
negtracker,120812_06,5_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,120812_07,5_4,female,no,white,100,1,6,4,no,2,2,0
negtracker,120812_08,5_4,female,yes,other,90,2,6,6,yes,2.2,2,0
negtracker,120812_09,5_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,120812_10,5_4,female,yes,other,75,2,6,6,no,3.8,3,0
negtracker,120812_11,5_4,male,no,asian,90,1,6,3,no,2.3,2,0
negtracker,120812_12,5_4,female,no,asian,25,1,4,4,no,3.3,3,1
negtracker,120812_13,5_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,120812_14,5_4,female,NA,other,100,2,2,6,no,4,4,0
negtracker,121112_01,5_3,female,yes,white,100,1,4,4,no,1.1,1,0
negtracker,121112_02,5_3,female,no,pacific,100,1,5,4,no,1.8,1,0
negtracker,121112_03,5_3,male,yes,white,50,2,6,2,no,2.9,2,1
negtracker,121112_04,5_3,female,no,white,100,1,5,4,no,3.9,3,0
negtracker,121112_05,5_3,male,no,white,100,1,6,4,no,2.6,2,0
negtracker,121112_06,5_3,female,no,white,100,1,6,4,no,2.3,2,0
negtracker,121112_07,5_4,male,no,white,100,1,4,4,no,2.8,2,0
negtracker,121112_08,5_4,male,no,other,100,1,6,6,no,3.6,3,0
negtracker,121112_09,5_4,female,yes,other,90,2,4,3,no,3.3,3,0
negtracker,121112_10,5_4,female,NA,white,100,1,6,6,no,3.2,3,0
negtracker,121112_11,5_4,female,no,asian,50,2,4,2,no,12.4,12,1
negtracker,121212_01,5_3,male,no,white,100,1,4,4,yes,3.9,3,0
negtracker,121212_02,5_3,male,yes,other,100,2,5,6,no,2.6,2,0
negtracker,121212_03,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,121212_04,5_1,male,no,asian,90,2,6,6,no,3.6,3,0
negtracker,121212_05,5_1,female,no,other,100,3,6,3,no,3.9,3,0
negtracker,121212_06,5_2,male,no,white,100,3,6,6,no,3.9,3,0
negtracker,121212_07,5_2,female,no,white,100,1,4,4,no,3.2,3,0
negtracker,121212_08,5_2,male,yes,white,100,2,6,6,no,3.3,3,0
negtracker,121212_09,5_2,female,no,white,90,2,4,4,no,2.6,2,0
negtracker,121212_10,5_4,male,no,asian,75,2,6,6,no,2.2,2,0
negtracker,121312_01,5_3,male,no,other,75,2,4,4,no,2.1,2,0
negtracker,121312_02,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
negtracker,121312_03,5_3,male,no,white,100,1,6,6,no,1.8,1,0
negtracker,121312_04,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,121312_05,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,121312_06,5_3,male,no,asian,75,2,4,6,no,2.1,2,0
negtracker,121312_07,5_2,male,no,white,100,2,6,6,no,3.8,3,0
negtracker,121312_08,5_4,female,no,white,100,1,2,2,no,2,2,0
negtracker,011113_01,5_3,male,no,white,100,1,6,4,no,3.3,3,0
negtracker,011113_02,5_3,male,no,white,100,1,6,6,no,3.6,3,0
negtracker,011113_03,5_3,male,no,white,100,1,6,6,no,4.3,4,0
negtracker,011113_04,5_3,male,no,other,100,2,4,4,no,3.3,3,0
negtracker,011113_05,5_3,male,no,asian,100,1,6,4,no,4.6,4,0
negtracker,011113_06,5_3,male,no,pacific,90,2,4,3,yes,3,3,0
negtracker,011113_07,5_3,male,no,asian,50,2,6,6,no,3.8,3,1
negtracker,011113_08,5_1,male,no,white,100,2,6,4,no,4.8,4,0
negtracker,011113_09,5_1,female,yes,NA,100,1,2,2,no,3.7,3,0
negtracker,011113_10,5_1,female,no,white,100,2,6,6,no,3.4,3,0
negtracker,011113_11,5_1,male,no,white,100,1,6,6,no,3.4,3,0
negtracker,011113_12,5_1,male,no,asian,100,2,6,6,no,3.3,3,0
negtracker,011813_01,5_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
negtracker,011813_02,5_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,011813_03,5_2,female,yes,white,100,2,6,4,no,3.6,3,0
negtracker,011813_04,5_2,male,no,white,100,1,4,6,no,3.4,3,0
negtracker,011813_05,5_2,female,no,asian,90,2,6,6,no,4.3,4,0
negtracker,011813_06,5_2,female,no,other,90,2,3,2,yes,4.7,4,0
negtracker,011813_07,5_2,female,yes,white,90,2,4,3,no,3.8,3,0
negtracker,011813_08,5_2,female,no,white,100,1,6,6,no,3.4,3,0
negtracker,011813_09,5_2,male,no,white,100,2,3,4,no,3.1,3,0
negtracker,011813_10,5_4,female,no,white,100,1,3,4,no,3.8,3,0
negtracker,011913_01,5_3,male,no,asian,90,2,4,4,no,3.2,3,0
negtracker,011913_02,5_3,male,yes,NA,75,2,2,2,NA,3.3,3,0
negtracker,011913_03,5_3,male,no,NA,100,1,4,3,no,3.6,3,0
negtracker,011913_04,5_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,011913_05,5_4,female,no,white,100,1,4,4,no,3.4,3,0
negtracker,011913_06,5_4,female,no,other,75,1,6,6,yes,3.3,3,0
negtracker,011913_07,5_4,female,no,white,100,1,4,6,no,3.4,3,0
negtracker,011913_08,5_1,female,no,other,50,2,6,6,no,3.1,3,1
negtracker,011913_09,5_1,female,no,white,90,3,3,6,no,3.6,3,0
negtracker,020313_01,5_1,male,no,asian,50,2,6,6,no,4.3,4,1
negtracker,020313_02,5_1,male,no,white,100,1,6,6,no,4.4,4,0
negtracker,020313_03,5_1,female,no ,white,100,2,6,4,no,3.4,3,0
negtracker,020313_04,5_1,female,yes,white,75,2,6,6,no,4.2,4,0
negtracker,020313_05,5_1,male,no,asian,100,2,6,6,no,3.6,3,0
negtracker,020313_06,5_1,male,no,asian,50,3,4,6,no,3.2,3,1
negtracker,020313_07,5_2,female,yes,NA,25,1,2,3,no,4.6,4,1
negtracker,020313_08,5_2,male,no,white,5,3,6,6,no,2.3,2,1
negtracker,020313_09,5_2,male,no,white,75,2,6,6,no,3.3,3,0
negtracker,020313_10,5_2,male,no,white,100,2,6,4,no,3.2,3,3
negtracker,020313_11,5_2,female,yes,other,90,2,6,6,no,3,2,0
negtracker,020313_12,5_2,male,no,asian,90,2,6,4,no,3.7,3,0
negtracker,021013_01,5_3,male,no,white,100,1,4,4,no,2.9,2,0
negtracker,021013_02,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
negtracker,021013_03,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,021013_04,5_3,female,no,other,100,1,2,2,no,3.4,3,0
negtracker,021013_05,5_3,female,no,white,100,1,6,4,yes,2.6,2,3
negtracker,021013_06,5_4,female,no,white,100,1,6,6,no,4.4,4,0
negtracker,021013_07,5_4,male,yes,NA,50,3,3,1,no,4.3,4,1
negtracker,021013_08,5_4,female,no,white,100,1,6,4,no,4.1,4,0
negtracker,021713_01,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
negtracker,021713_02,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,021713_03,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,021713_04,5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
