study NAme,subid,study version,gender,hisp,ethnicity,english,numlang,parented,othered,premie,age,agegroup,exclude
negtracker,061213_05,5_2,male,no,white,100,1,6,4,no,4.5,4,0
negtracker,061213_06,5_2,female,no,white,100,1,6,4,no,2.7,2,0
negtracker,061213_07,5_2,female,no,other,100,1,3,2,yes,4.9,4,0
negtracker,061213_08,5_2,NA,NA,NA,75,NA,NA,NA,NA,4.8,4,0
negtracker,061313_01,5_2,female,no,white,100,1,6,6,no,4.8,4,0
negtracker,061313_02,5_3,male,no,white,100,1,6,4,no,4.3,4,0
negtracker,061313_03,5_3,female,yes,white,100,1,4,4,no,4.9,4,0
negtracker,061313_04,5_3,female,no,NA,100,1,NA,NA,no,4.4,4,0
negtracker,061313_05,5_4,male,no,white,100,1,6,4,no,4.1,4,0
negtracker,061313_06,5_4,NA,NA,NA,95,4,NA,NA,NA,4.5,4,0
negtracker,061313_07,5_4,female,no,white,100,2,4,4,no,4.5,4,0
negtracker,061313_08,5_4,male,no,asian,95,2,4,3,no,5,4,0
negtracker,061313_09,5_2,female,no,asian,100,1,6,6,yes,4.9,4,0
negtracker,061313_10,5_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
negtracker,061813_01,5_1,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,061813_02,5_4,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,061813_03,5_4,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,061913_01,5_4,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
negtracker,061913_02,5_4,NA,NA,NA,100,NA,NA,NA,NA,NA,adult,0
